Bindeglied zu Hausverwaltung;Name;Adresse;Ort;PLZ;EU-Kunde;Name 5;Leistungszeitraum;Kopftext
Resag Home;Allerheiligenplatz 11;Anastasius-Grün-Gasse 4;Wien;1200;20;9;Fr. Kühnel, 01/3333150; HI des Hauses Allerheiligenplatz 11 1200 Wien
IMV;Allerheiligenplatz 13;Andergasse 7;Wien;1200;20;9;;WEG Allerheiligenplatz 13    
IMV;Allerheiligenplatz 6;Anningerstraße 6-10;Wien;1200;20;nz;;WW 20 A 6 GmbH ATU66173339   
Resag Home;Alpengasse 6/Favoritenstraße 171;Anschützgasse 21;Wien;1100;10;7;; HI des Hauses Alpengasse 6/Favoritenstraße 171 1100 Wien
Palmers;Alser Straße 25;Anton Schwarzgasse 22;Wien;1080;8;6;;    
Resag Home;Alserbachstraße 11;Anton-Baumgartnerstraße 125;Wien;1090;9;nz;; HI des Hauses Alserbachstraße 11, 1090 Wien   
Wariwoda;Alserbachstraße 15/Thurygasse 4;Anton-Bruckner-Gasse 5-7/1+2;Wien;1090;9;nz;;IMF PRIMA Liegenschafts- und MobilienvermietungsgmbH   
IS Immobilien;Alserbachstraße 19/Thurygasse 8;Anzbachgasse 111;Wien;1090;9;9;; Miteigentümergemeinschaft Alserbachstraße 19/Thurygasse 8  
;Alserstraße 10;Anzengrubergasse 33;Wien;1090;9;nz;Ja, ;    
Richter;Alserstraße 34;Arnethgasse 93;Wien;1090;9;3;;Dr. Herbert Koch    
Arealis;Alserstraße 35;Arnsteingasse 17;Wien;1080;8;9;Fr. Sainovic, 01/4055957;An die Hausinhabung des Hauses  Alserstraße 35 1080 Wien
Schönere Zukunft;Alsgasse 10-12/Alszeile 77;Aspersdorfer Straße 3/Stiege I-IV;Wien;1170;17;10;Frau Cihor, 01/9563572;WEG  Alsgasse 10-12/Alszeile 77 1170 Wien
Neues Leben;Alszeile 125+125a;Aspersdorfer Straße 8;Wien;1170;17;6;;    
IMV;Alszeile 91-93;Auerspergstraße 17;Wien;1170;17;10;Nein, ; WEG Alszeile 91-93   
Schönere Zukunft;Altau 15-21;Auggenthal 133;Senftenberg;3541;;nz;Nein, ;WEG  Altau 15-21 3541 Senftenberg
Schönere Zukunft1;Alter Ziegelweg 8;Bachwirtsiedlung  41/42/43/45;Tulln;3430;0;7;Fr. Nesic, 0664/2038703;    
HV Zickler;Altmannsdorfer Straße 34;Badgasse 267;Wien;1120;12;11;Hr. Gülo, 0676/5863519;An die HI  Altmannsdorfer Straße 34 1120 Wien
Buwog FM;Altmannsdorferstraße 91/Hetzendorfer Str. 30-32;Bahnhofgürtel 77-79;Wien;1120;12;4;;Aedificio Liegenschaftsvermietungs- und Beteiligungsgesellschaft mbH   
Buwog FM;Altmannsdorferstraße 93/Hetzendorfer Str. 33;Bahnstraße 10;Wien;1120;12;4;;Aedificio Liegenschaftsvermietungs- und Beteiligungsgesellschaft mbH   
Schönere Zukunft;Am Bach 465-473;Baichbergsiedlung 11-17;Biberbach;3353;;nz;;WEG  Am Bach 465-473 3353 Biberbach
Diverse;Am Bisamberg 49;Baichbergsiedlung 1-6;Wien;1210;21;11;;    
Schönere Zukunft1;Am Hang 500;Baichbergsiedlung 7-10;Biberbach;3353;;nz;Thurnhofer, 07476/8273;    
Lumbe;Am Heumarkt 7/Beatrixgasse 26 Stiege 1-8;Bandgasse 9;Wien;1030;3;nz;Sulemanovic, 0664/7634763;ATU60739008 Botschafter Max Turnauer   
Neues Leben;Am Hofgartel 16/Paulasgasse 13;Baumkirchnerring 5;Wien;1110;11;11;;An die Hausinhabung des Hauses Am Hofgartel 16/Paulasgasse 13 1110 Wien
IMV;Am Kaisermühlendamm 99-103;Benedikt Schellingergasse 17;Wien;1220;22;nz;;WEG Am Kaisermühlendamm 99-103    
Schönere Zukunft1;Am Kirchberg 5;Bergmillergasse 6;St. Georgen/Ybbs;33723304;;9;Fr. Amon, 07473/6603;    
IMV;Am langen Wassersprung 44;Bergsiedlung 13-21;Laxenburg;2361;;4;Nein, ; WEG Am langen Wassersprung 44a+44b   
Schönere Zukunft1;Am Lichtfeld 456 A-D;Bergsiedlung 1-6;Hoheneich;3945;0;6;;    
HV Frieden;Am Pulverturm 45;Bergsiedlung 24-29;Mistelbach;2130;0;nz;Fr. Engelmann, 0650/7339003;    
HV Frieden;Am Pulverturm 47;Bergsiedlung 7-12;Mistelbach;2130;0;nz;Hr. Matzinger, 0664/5470115;    
HV Frieden;Am Pulverturm 53;Beringgasse 23/Hernalser Hauptstraße 194;Mistelbach;2130;0;nz;;    
Arealis;Am Spitz 10/Schweigergasse 30;Bernhardtstalgasse 45;Wien;1210;21;8;Nein, ;An die Hausverwaltung des Hauses  Am Spitz 10/Schweigergasse 30 1210 Wien
Buwog FM;Am Spitz 2-3/ Lehndorfer Hof;Biberstraße 15;Wien;1210;21;5;; REVIVA Am Spitz Liegenschaft AG   
Arealis;Amalienstraße 48;Billrothgasse 2;Wien;1130;13;6;; An die Hausinhabung des Hauses Amalienstraße 48 1130 Wien
IMV;Amalienstraße 53A;Billrothstraße 14;Wien;1130;13;10;;ATU62797012 WEG Amalienstraße 53A   
Sabo;Amalienstraße 55;Bindergasse 3;Wien;1130;13;nz;;ATU62187449 An die Eigentümer der Liegenschaft Amalienstraße 55 1130 Wien
HV Zickler;Amortgasse 33;Bisamberger Straße 21;Wien;1140;14;9;;An die WEG  Amortgasse 33 1140 Wien
Schönere Zukunft;Amselweg 1;Blechturmgasse 24;Waidhofen/Ybbs;3340;;nz;Nein, ;WEG  Amselweg 1 3340 Waidhofen/Ybbs
IMV;Anastasius Grün Gasse 19/Weitlofg.;Blindengasse 29;Wien;1180;18;3;Nein, ; WEG Anastasius Grün-Gasse 19   
Scheer;Anastasius Grün-G. 3;Blindengasse 8;Wien;1180;18;6;; S-TIMM Immobilien GmbH   
;Anastasius-Grün-Gasse 14;Böcklinstraße 32-34/Schüttelstraße 21/21a;Wien;1180;18;nz;;IMMOFINANZ Metis Anlagen Leasing GmbH    
Scheer;Anastasius-Grün-Gasse 33;Boerhaavegasse 4;Wien;1180;18;4;; Miteigentümergemeinschaft Anastasius-Grün-Gasse 33 1180 Wien
Premium;Anastasius-Grün-Gasse 4;Boltzmanngasse 18;Wien;1180;18;nz;;PREMIUM Anastasius-Grün-Gasse 4 GmbH & Co KG   
Schliesselberger;Andergasse 7;Bonygasse 2-12/Hilschergasse 9-11;Wien;1170;17;nz;;    
IS Immobilien;Anna-Frauer-Gasse 5;Bonygasse 27;Wien;1180;18;10;;MEG 18., Anna-Frauer-Gasse 5    
IS Immobilien;Annagasse 5;Börsegasse 1;Wien;1010;1;5;;MEG 1010 Wien, Annagasse 5   
IMV;Anningerstraße 6-10;Bossigasse 78/78a;Wien;;;nz;Hr. Dujik, 06503/875416;    
Resag Home;Anschützgasse 20;Brauhausgasse 14;Wien;1150;15;9;;JBG Invest AG    
Resag Home;Anschützgasse 21;Bräuhausgasse 37;Wien;1150;15;nz;; HI des Hauses Anschützgasse 21 1150 Wien
Schönere Zukunft;Anton Haglgasse 24;Bräuhausgasse 49;Gablitz;3003;0;7;;WEG  Anton Haglgasse 24 3003 Gablitz
HV Dr. Wagner;Anton Kriegergasse 81;Brunnengasse 45;Wien;1230;23;05 11;Nein, ;WEG  Anton Kriegergasse 81 1230 Wien
Schönere Zukunft;Anton Schwarzgasse 22;Brünnerstraße 10;Sierndorf;2011;;nz;Nein, ;WEG  Anton Schwarzgasse 22 2011 Sierndorf
Resag Home;Anton-Baumgartnerstraße 125;Brünnerstraße 175;Wien;1230;23;nz;; WEG des Hauses Anton-Baumgartnerstraße 125 1230 Wien
Schönere Zukunft1;Anton-Bruckner-Gasse 5-7/1+2;Brünnerstraße 73/Altteil;Laa/Thaya;2136;0;nz;Fr. Thurner, 0664/4207599;    
Familienwohnbau;Anton-Heger-Platz 4;Buchengasse 138/Karmaschgasse 41;Wien;1230;23;11;;    
Resag Business;Antonigasse 13;Buchengasse 174;Wien;1180;18;6;;WEG des Hauses  Antonigasse 13 1180 Wien
IMV;Antonigasse 14;Buchengasse 178;Wien;1180;18;9;Nein, ; WEG Antonigasse 14   
IMV;Antonigasse 22-24;Canisiusgasse 19;Wien;1180;18;03 09;;WEG Antonigasse 22-24    
IMV;Antonigasse 26/Eduardgasse 2;Cobenzlgasse 62;Wien;1180;18;03 09;;WEG Antonigasse 26    
IMV;Antonigasse 48/Leitermayergasse 28;Custozzagasse 13;Wien;1180;18;05 11;; PREMIUM Antonigasse 48 GmbH & Co KG   
IS Immobilien;Antonigasse 54;Czapkagasse 7;Wien;1180;18;11;;MEG 18., Antonigasse 54  Antonigasse 54 1180 Wien
IS Immobilien;Antonigasse 69;Czerningasse 22;Wien;1170;17;05 11;;Miteigentümergemeinschaft 1170 Wien, Antonigasse 69   
Arealis;Anton-Langer-Gasse 62;Dammäckergasse 20;Wien;1130;13;6;; An die WEG des Hauses Anton-Langer-Gasse 62 1130 Wien
proVentus;Antonsplatz 16;Dammgasse 1-10;Wien;1100;10;7;;Hausinhabung    
Schiansky;Anton-Wenzel-Prager-Gasse 7-9;Dänekeplatz 5;Purkersdorf;3002;0;01 02 03 04 05 06 07 08 09 10 11 12;; WE-Gemeinschaft Anton Wenzel Prager-Gasse 7-9 3002 Purkersdorf
Schiansky;Anton-Wenzel-Prager-Gasse 7-9  Rinnen;Darnautgasse 2;Purkersdorf;3002;0;05 11;;WE-Gemeinschaft  A.W.Prager-Gasse 7-9 3002 Purkersdorf
Seidel;Anzbachgasse 111;Degengasse 14+14a/Wichtelgasse 37a;Wien;1140;14;nz;;    
Gin;Anzbachgasse 138;Degengasse 54;Wien;1140;14;11;Fr. Mitterbauer, 0664/8252056;    
Ing. Vertacnik;Anzengrubergasse 33;Deißenhofergasse 14;Sollenau;2601;0;nz;;    
proVentus;Apollogasse 20;Diefenbachgasse 58;Wien;1070;7;6;Ja, ;Dr. Langhammer    
IS Immobilien;Apollogasse 3;Differtenweg 2-4;Wien;1070;7;8;; Miteigentümergemeinschaft Apollogasse 3 1070 Wien
Palmers;Apollogasse 9;Dißlergasse 5;Wien;1070;7;9;;    
Steinbrecher;Argentinierstraße 21;Dißlergasse 9;Wien;1040;4;11;;Hausinhabung des Hauses  Argentinierstraße 21 1040 Wien
Arealis;Argentinierstraße 22;Dittesgasse 4;Wien;1040;4;8;;An die Hausinhabung des Hauses  Argentinierstraße 22 1040 Wien
Arealis;Argentinierstraße 23;Dominikanerbastei 19;Wien;1040;4;11;;An die Hausinhabung des Hauses  Argentinierstraße 23 1040 Wien
Schönere Zukunft;Aribogasse 22;Donaufelderstraße 101;Wien;1220;22;10;; WEG Aribogasse 22 1220 Wien
IMV;Arndtstraße 19;Donauwartesteig 26-28;Wien;1050;5;3;;PMI-Millauer  Co OEG i.V. IMV GmbH    
HV Zickler;Arnethgasse 93;Dorf 113;Wien;1160;16;nz;; Hausinhabung Arnethgasse 93 1160 Wien
IS Immobilien;Arnsteingasse 17;Dörfelstraße 6-8;Wien;1150;15;nz;; HI des Hauses Arnsteingasse 17 1150 Wien
IMV;Arsenal 12;Dornbacherstraße 86;Wien;1030;3;10;;Arsenal Liegenschaftsvermietungs GmbH    
IMV;Arsenal 15;Dr. E.  Chermakstr. 2;Wien;1030;3;03 06 11;;SENORA Immobilien ZWEI GmbH & Co KG    
Buwog FM;Aspangstraße  29;Dr. E.  Chermakstr. 4;Wien;1030;3;4;;WEG  Aspangstraße 29 1030 Wien
HV Frieden;Aspersdorfer Straße 3/Stiege I-IV;Dr. Emmerich Cermakstraße 2/1-3;Hollabrunn;2020;0;nz;; Objekt 648 und 619   
HV Frieden;Aspersdorfer Straße 8;Dr. Franz Josef Schicht-Gasse 5;Hollabrunn;2020;0;nz;;    
IMV;Aßmayergasse 10;Dr. Josef Schaferikstraße 3;Wien;1120;12;10;Nein, ; WEG Aßmayergasse 10   
Arealis;Aßmayergasse 66;Dr. Ludwigstraße 14;Wien;1120;12;6;; An die Hausinhabung des Hauses Aßmayergasse 66 1120 Wien
IMV;Auerspergstraße 17;Dr. Viktor Adlerstraße 11+13;Wien;1170;17;nz;;Elendil Immob. GmbH & Co OG    
IMV;Auerspergstraße 17 Theater;Dr. Viktor Adlerstraße 13;Wien;1080;8;11;;Elendil Immobilien GmbH & Co OG    
Korecky;Auggenthal 133;Dr. Viktor Adlerstraße 1-3/1+2;Auggenthal;2054;0;nz;;    
IMV;Auhofstraße 116/Geylinggasse 30-32;Dr. Viktor Adlerstraße 5-9/3-5;Wien;1130;13;4;Fr. Krippner, 01/8762118; WEG Auhofstrasse 116   
IMV;Auhofstraße 158-166;Dr. Viktor-Adlerstraße 17;Wien;1130;13;9;Fr. Bednarz, 0699/19478013;WEG Auhofstraße 158-166    
IMVT;Auhofstraße 190;Dreihausgasse 32;Wien;1130;13;9;Attensam, ;Dr. Ernst Christian Strobl    
HV Zickler;Auhofstraße 225-227;Dresdnerstraße 68a;Wien;1130;13;05 11;Fr. Schönpflug, 01/8768014;WEG  Auhofstraße 225-227 1130 Wien
HV Zickler;Auhofstraße 231-237;Dresdnerstraße 70/Universumstraße 33;Wien;1130;13;05 11;;WEG  Auhofstraße 231-237 1130 Wien
Filz;Auhofstraße 256;Dunklergasse 19;Wien;1130;13;11;;An die Hausinhabung des Hauses  Auhofstraße 256 1130 Wien
Neues Leben;Auhofstraße 37;Edlastraße 30;Wien;1130;13;11;;An die WEG des Hauses  Auhofstraße 37 1130 Wien
Steinbrecher;Babenbergergasse 17;Eduard Freunthalerstraße 17-23;Klosterneuburg;3400;0;11;;    
IMV;Babenbergerstraße /Fisolengasse 7-9 Kohlhof;Eduard Freunthalerstraße 25-33;Melk;3390;0;9;;WEG Fisolengasse 7-9    
Arealis;Babenbergerstrasse 1/Burgring 3;Eduard Freunthalerstraße 3-15;Wien;1010;1;08 11;;An die Hausinhabung des Hauses  Babenbergerstraße 1 1010 Wien
Schönere Zukunft1;Bachwirtsiedlung  41/42/43/45;Eduard Freunthalerstraße 35-41;Waidhofen/Ybbs;3340;;nz;Fr. Tatzreiter, ;    
ImmoW16;Bäckerstraße 10;Effingergasse 12-14/Wuritzergasse 67;Wien;1010;1;10;;An die Hausinhabung des Hauses  Bäckerstraße 10 1010 Wien
Schönere Zukunft1;Bad Großpertholz 30;Effingergasse 38;Bad Großpertholz;3972;0;6;;    
Schönere Zukunft;Badgasse 2;Ehamgasse 21-23/Dommesgasse 14-16/Lorystraße 50-52;Wien;1140;14;03 06 11;Fr. Berger Fr. Gruber, 01/9790810;WEG  Badgasse 2 1140 Wien
;Badgasse 2 Sansenböker;Einsiedlergasse 24;Wien;1140;14;6;;    
IS Immobilien;Badgasse 24;Eisteichstraße 6-8;Wien;1090;9;3;;Miteigentümergemeinschaft  Badgasse 24 1090 Wien
Schönere Zukunft;Badgasse 267;Elisabethstraße 3;Neulengbach;3040;;nz;;WEG  Badgasse 267 3040 Neulengbach
Kreidl;Badgasse 4;Enenkelstraße 23;Wien;1140;14;03 11;;    
ONLINE;Badhausgasse 18-20;Enenkelstraße 26;Wien;1070;7;6;;Palmers AG    
Rabensteiner;Badner Straße 102;Enenkelstraße 29;Bad Vöslau;2540;0;4;;Bad Vöslau Vermietungs GesmbH    
Arealis;Bahnhofgürtel 77-79;Erdbergstraße 164;Graz;8010;0;nz;;    
Arealis;Bahnhofstraße 2a;Erdbergstraße 61;Wien;1140;14;6;;An die WEG des Hauses  Bahnhofstraße 2a 1140 Wien
Schönere Zukunft1;Bahnhofstraße 3;Erdbrustgasse 82;Vitis;3902;0;6;Fr. Hrovat, 0664/4149551;    
Schönere Zukunft1;Bahnhofstraße 5;Eslarngasse 25/11a;Vitis;3902;0;6;Fr. Hrovat, 0664/4149551;    
Schönere Zukunft;Bahnstraße 10;Ettenreichgasse 4;Eisenstadt;7000;;nz;;WEG  Bahnstraße 10 7000 Eisenstadt
Raika;Bahnstraße 8;Fabrikstraße 26-28/Lüfteneggerstraße 2;Gänserndorf;2230;0;10;;    
Schönere Zukunft;Baichbergsiedlung 11-17;Falkestraße 3;Sonntagberg;3332;;nz;;WEG  Baichbergsiedlung 11-17 3332 Sonntagberg
Schönere Zukunft;Baichbergsiedlung 1-6;Fasangasse 50;Sonntagberg;3332;;nz;Hr. Christian Walter, 0664/2303955;WEG  Baichbergsiedlung 1-6 3332 Sonntagberg
Schönere Zukunft;Baichbergsiedlung 7-10;Fasangasse 51;Sonntagberg;3332;;nz;;WEG  Baichbergsiedlung 7-10 3332 Sonntagberg
Schönere Zukunft;Balderichgasse 20;Fasanweg 8-10;Wien;1170;17;10;Hr. Tornjeskovic, 01/4866598;WEG  Balderichgasse 20 1170 Wien
Arealis;Ballgasse 4;Feldstraße 8/9/10/11 Stiege 3,4,5 und 6;Wien;1010;1;6;;An die Hausinhabung des Hauses  Ballgasse 4 1010 Wien
HV Zickler;Bandgasse 18;Ferdinand Fleischmanngasse 5/ RH3;Wien;1070;7;3;; WEG Bandgasse 18, 1070 Wien   
IMV;Bandgasse 5-7;Ferdinand Raimundgasse 7;Wien;1070;7;9;;ATU62462739 WEG Bandgasse 5-7   
ONLINE;Bandgasse 9;Fichtnergasse 12;Wien;1070;7;nz;; WEG Bandgasse 9 1070 Wien
IMV;Barawitzkagasse 17;Firmiangasse 22-24;Wien;1190;19;5;; WEG Barawitzkagasse 17   
IMV;Barawitzkagasse 19;Floridsdorfer Hauptstraße 43;Wien;1190;19;5;; WEG Barawitzkagasse 19   
Buwog FM;Barichgasse 19;Friedensgasse 1;Wien;1030;3;3;;Immofinanz Enodia Realitäten Vermietungs GmbH    
